gold \ pred,过热,退潮,证伪,验证,点火,扩散,ambiguous
过热,40,0,0,0,0,0,0
退潮,0,3,0,0,0,0,0
证伪,0,0,20,0,0,0,0
验证,0,0,0,40,0,0,0
点火,0,0,0,0,0,0,1
扩散,0,0,0,0,0,0,0
ambiguous,0,5,0,6,0,0,85
