class,precision,recall,f1,support,TP,FP,FN
过热,1.0,1.0,1.0,40,40,0,0
退潮,0.375,1.0,0.5455,3,3,5,0
证伪,1.0,1.0,1.0,20,20,0,0
验证,0.8696,1.0,0.9302,40,40,6,0
点火,,0.0,,1,0,0,1
扩散,,,,0,0,0,0
ambiguous,0.9884,0.8854,0.9341,96,85,1,11
macro_avg,0.8466,0.9771,0.882,200,,,
weighted_avg,,,0.9473,200,,,
overall_accuracy,,,0.94,200,188,,
cohen_kappa,,,0.9139,,,,
